BOROBOX,BOX_TYPE,LOCATION,ZIP,BOROUGH,COMMUNITYDISTICT,CITYCOUNCIL,LATITUDE,LONGITUDE,Location Point
X2912,ERS,LONGFELLOW AVE & E 174 ST,10460,Bronx,BX03,17,40.83617845,-73.88424921,POINT (-73.88424921 40.83617845)
M0889,ERS,AVE OF AMERICAS & W 54 ST,10019,Manhattan,MN05,4,40.76239607,-73.9786017,POINT (-73.9786017 40.76239607)
X3834,ERS,EDENWALD AVE & DIGNEY AVE,10466,Bronx,BX12,12,40.89130277,-73.85069084,POINT (-73.85069084 40.89130277)
Q4602,BARS,ROOSEVELT AVE & 97 ST,11368,Queens,QN04,21,40.74926382,-73.86845758,POINT (-73.86845758 40.74926382)
X4384,ERS,W/S HUTCH RIV PWAY & BARTOW AVE,10475,Bronx,BX10,12,40.86883201,-73.82314049,POINT (-73.82314049 40.86883201)
M1531,ERS,CONVENT AVE & W 131 ST,10027,Manhattan,MN09,9,40.81584563,-73.95286768,POINT (-73.95286768 40.81584563)
Q9615,ERS,PARK LA S & 107 ST,11385,Queens,QN09,30,40.70055443,-73.8429379,POINT (-73.8429379 40.70055443)
B0662,ERS,BEDFORD AVE & DEKALB AVE,11205,Brooklyn,BK03,33,40.69090829,-73.95541058,POINT (-73.95541058 40.69090829)
B0339,ERS,BEDFORD AVE & HEYWARD ST,11206,Brooklyn,BK01,33,40.7008226,-73.95745736,POINT (-73.95745736 40.7008226)
Q3147,ERS,73 RD & AUSTIN ST,11375,Queens,QN06,29,40.71780343,-73.83955786,POINT (-73.83955786 40.71780343)
X2730,ERS,FULTON AVE & E 169 ST,10456,Bronx,BX03,16,40.83221638,-73.90343502,POINT (-73.90343502 40.83221638)
Q0188,BARS,JFK - RENT-A-CAR RD RETURN AREA,11430,Queens,JFK,28,40.65988494,-73.8033836,POINT (-73.8033836 40.65988494)
B0471,ERS,OLD FULTON ST & EVERIT ST,11201,Brooklyn,BK02,33,40.70282465,-73.99417681,POINT (-73.99417681 40.70282465)
B0122,BARS,BEDFORD AVE & N 9 ST,11211,Brooklyn,BK01,33,40.71894115,-73.95653563,POINT (-73.95653563 40.71894115)
B0972,ERS,ATLANTIC AVE & CLASSON AVE,11238,Brooklyn,BK03,35,40.67983113,-73.95829217,POINT (-73.95829217 40.67983113)
Q7249,BARS,50 AVE & 45 ST,11377,Queens,QN02,26,40.73757132,-73.92076414,POINT (-73.92076414 40.73757132)
Q5252,BARS,HILLSIDE AVE & 183 ST,11432,Queens,QN08,24,40.7138493,-73.77886958,POINT (-73.77886958 40.7138493)
M0266,ERS,PITT ST & BROOME ST,10002,Manhattan,MN03,1,40.71611493,-73.98361989,POINT (-73.98361989 40.71611493)
R1439,BARS,BURGHER AVE & JOHNSON PL,10304,Staten Island,SI02,50,40.59449474,-74.09556806,POINT (-74.09556806 40.59449474)
M1156,ERS,MADISON AVE & E 85 ST,10028,Manhattan,MN08,4,40.7801738,-73.95931105,POINT (-73.95931105 40.7801738)
